episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
1035.5609963175993,3.071437850354962,523.488425450059,912.5,2,2,5632,5632,False,6,11,b0d2829656554afcac22739c45e953f1,2022-12-09_09-49-06,1670575746,87.45196008682251,972.1009557247162,20704,marton-ThinkPad-T440,192.168.1.134,972.1009557247162,0,11,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962]","[1454, 1673, 205, 201, 1299, 643]",7283.723,70.294,80335.468,6.373,3.769,5632,5632,5632,44.1312,76.43039999999999,0.0,2.278125,9.012116350811364e-05,59.565457820892334,-0.20785028784302995,59.71885538101196,0.73813266,0.0239015300758183,2.93522946536541,0.0
1035.5609963175993,0.0,448.70436467147914,803.5714285714286,1,2,6144,6144,False,7,12,b0d2829656554afcac22739c45e953f1,2022-12-09_09-50-34,1670575834,88.15704488754272,1060.258000612259,20704,marton-ThinkPad-T440,192.168.1.134,1060.258000612259,0,12,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0]","[1454, 1673, 205, 201, 1299, 643, 150]",7283.476,70.296,80194.064,6.385,3.825,6144,6144,6144,43.570634920634916,77.44761904761903,0.0,3.4171875000000003,9.012116350811364e-05,74.53086280822754,-0.18686884618364275,74.66607594490051,0.7298414,0.015116124763153493,3.024651601910591,0.0
1035.5609963175993,0.0,455.5795009989058,686.3333333333334,2,2,6656,6656,False,9,13,b0d2829656554afcac22739c45e953f1,2022-12-09_09-52-12,1670575932,97.65626072883606,1157.914261341095,20704,marton-ThinkPad-T440,192.168.1.134,1157.914261341095,0,13,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67]",7269.401,70.432,81270.836,6.3,3.843,6656,6656,6656,52.27194244604316,78.56690647482014,0.0,3.4171875000000003,9.012116350811364e-05,462.06889593601227,-0.09352001850493252,462.13522160053253,0.7072252,0.007965074270032346,3.0305134654045105,0.0
1035.5609963175993,0.0,418.8492266515212,642.6,1,2,7168,7168,False,10,14,b0d2829656554afcac22739c45e953f1,2022-12-09_09-53-46,1670576026,93.44158339500427,1251.3558447360992,20704,marton-ThinkPad-T440,192.168.1.134,1251.3558447360992,0,14,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704, 88.27675752505951]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67, 249]",7310.368,70.038,81865.252,6.254,3.859,7168,7168,7168,45.99402985074627,78.71567164179105,0.0,3.4171875000000003,9.012116350811364e-05,328.5081226825714,-0.1067945611430332,328.57943177223206,0.8153376,0.010384156659711152,3.0425278693437576,0.0
1035.5609963175993,0.0,457.020845555077,611.8181818181819,1,2,7680,7680,False,11,15,b0d2829656554afcac22739c45e953f1,2022-12-09_09-55-19,1670576119,93.42459797859192,1344.7804427146912,20704,marton-ThinkPad-T440,192.168.1.134,1344.7804427146912,0,15,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704, 88.27675752505951, 838.7370345906355]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67, 249, 304]",7340.077,69.754,82265.702,6.224,3.868,7680,7680,7680,45.52180451127819,79.50977443609023,0.0,3.4171875000000003,9.012116350811364e-05,70.42257308959961,-0.17028963309712708,70.54405403137207,0.8372257,0.014283192344009876,2.955858811736107,0.0
1035.5609963175993,0.0,457.020845555077,611.8181818181819,0,2,8192,8192,False,11,16,b0d2829656554afcac22739c45e953f1,2022-12-09_09-56-52,1670576212,93.07363677024841,1437.8540794849396,20704,marton-ThinkPad-T440,192.168.1.134,1437.8540794849396,0,16,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704, 88.27675752505951, 838.7370345906355]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67, 249, 304]",7364.138,69.526,82812.291,6.183,3.894,8192,8192,8192,45.67593984962406,79.0157894736842,0.0,3.4171875000000003,9.012116350811364e-05,61.05980181694031,-0.1632706206291914,61.18251073360443,0.8151652,0.011869867710629478,3.0798591524362564,0.0
1035.5609963175993,0.0,457.020845555077,611.8181818181819,0,2,8704,8704,False,11,17,b0d2829656554afcac22739c45e953f1,2022-12-09_09-58-26,1670576306,93.29842352867126,1531.1525030136108,20704,marton-ThinkPad-T440,192.168.1.134,1531.1525030136108,0,17,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704, 88.27675752505951, 838.7370345906355]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67, 249, 304]",7416.303,69.037,83412.159,6.138,3.905,8704,8704,8704,47.042857142857144,79.0421052631579,0.0,3.4171875000000003,9.012116350811364e-05,95.93214297294617,-0.19717066595330834,96.07484579086304,0.81993043,0.015939706761855632,3.0736062973737717,0.0
1035.5609963175993,0.0,458.53607593615834,610.25,1,2,9216,9216,False,12,18,b0d2829656554afcac22739c45e953f1,2022-12-09_09-59-56,1670576396,89.73813557624817,1620.890638589859,20704,marton-ThinkPad-T440,192.168.1.134,1620.890638589859,0,18,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704, 88.27675752505951, 838.7370345906355, 475.203610128053]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67, 249, 304, 593]",7383.26,69.346,83699.481,6.117,3.905,9216,9216,9216,44.9421875,78.12265625,0.0,3.4171875000000003,9.012116350811364e-05,105.175048828125,-0.17209564801305532,105.30593061447144,0.8157196,0.012060733395628631,2.982193574309349,0.0
1035.5609963175993,0.0,445.4964982400204,583.0,1,2,9728,9728,False,13,19,b0d2829656554afcac22739c45e953f1,2022-12-09_10-01-26,1670576486,90.64984393119812,1711.5404825210571,20704,marton-ThinkPad-T440,192.168.1.134,1711.5404825210571,0,19,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704, 88.27675752505951, 838.7370345906355, 475.203610128053, 289.02156588636524]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67, 249, 304, 593, 256]",7374.069,69.432,84054.997,6.091,3.879,9728,9728,9728,46.002307692307696,78.7776923076923,0.0,3.4171875000000003,9.012116350811364e-05,29.029157996177673,-0.1777928121155128,29.163019359111786,0.65334636,0.012855896900873631,3.2144778072834015,0.0
1035.5609963175993,0.0,447.63961918411144,672.7333333333333,2,2,10240,10240,False,15,20,b0d2829656554afcac22739c45e953f1,2022-12-09_10-02-57,1670576577,90.52651071548462,1802.0669932365417,20704,marton-ThinkPad-T440,192.168.1.134,1802.0669932365417,0,20,09b96_00000,"[837.0030281105027, 1035.5609963175993, 406.52588067887285, 4.80308054060761, 853.9661292024166, 3.071437850354962, 0.0, 371.5059537331285, 587.7790025566704, 88.27675752505951, 838.7370345906355, 475.203610128053, 289.02156588636524, 906.2658861966942, 16.873924444712078]","[1454, 1673, 205, 201, 1299, 643, 150, 485, 67, 249, 304, 593, 256, 2157, 355]",7388.895,69.293,84338.072,6.071,3.862,10240,10240,10240,45.14806201550388,77.95581395348836,0.0,3.4171875000000003,9.012116350811364e-05,42.66551089286804,-0.1751357687462587,42.7961859703064,0.8047619,0.013011186209041625,2.9989821016788483,0.0
